,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
hxl_tors,0.009201821376534287,0.008933603927400167,0.008377798267422609,0.010675459709229767,0.005216710203428309,0.007457676288128982,0.009243649852748639,0.008593121047203922,0.00890397018399374,0.006624734324951795
hydrophobicity,0.010168911294081066,0.013627807260217272,0.0166897718183351,0.01171438554824521,0.013906273591342779,0.01810286319036858,0.011283542957812944,0.010776347603084333,0.007997348736183555,0.012609813990506636
largest_hphob_cluster,0.006444405162392574,0.021280403696424,0.01648573614437339,0.00731627044527186,0.0034288690634256013,0.010923664538975255,0.007474382894515106,0.01077382395957089,0.004232506304624458,0.011180508389201194
lk_ball,0.004102513758645753,0.0057525311587761025,0.005737395055178662,0.005078889911618109,0.0037629686269585886,0.004576581772478417,0.005430478651216058,0.005209397212709271,0.003791649801227512,0.0048833549577320615
lk_ball_bridge,0.004443935704375367,0.006707559805788636,0.006040925599134657,0.0064369454346263205,0.0046443781721242795,0.004634330590377376,0.005401768890579536,0.005806910851064702,0.0046501143344854804,0.005810136232904465
lk_ball_bridge_uncpl,0.005281397619851953,0.00725661881580885,0.006727794046969406,0.006584906105201614,0.005638612310114739,0.0046673284791423205,0.00764063351011832,0.006879043540414863,0.005537210932136921,0.00630227832734271
lk_ball_iso,0.004582318511287226,0.005657137437433156,0.0051915421807112155,0.004671188636473816,0.0051325632651126885,0.003970109506897778,0.005130730427749928,0.005821164639000656,0.0036693767387598513,0.004753354238582032
loop_sc,0.005481760824571868,0.008806658680152209,0.008479706384481285,0.008151683816951473,0.004789240494674992,0.006074240123028128,0.008061975706382144,0.008487853894504108,0.007365958579437519,0.006863513439849155
mismatch_probability,0.006432176018050126,0.00867432683309687,0.008059083132200521,0.00651104170822775,0.006546708461722509,0.00663734771305236,0.008643257279005001,0.007924924465436673,0.006743225470118415,0.00818309301302346
n_charged,0.0021432469219120017,0.0035183023985572593,0.003611920035893092,0.0029166129343082448,0.0022040635253510583,0.002302468319593443,0.0032220671211761987,0.003740466065196895,0.0021478186592876073,0.0025780617703686794
n_hphob_clusters,0.0005006687617669479,0.001093301293080544,0.0006808665717791832,0.000647587047114945,0.0006180578969592459,0.000525683690496227,0.0008197049380107613,0.000907162169107503,0.0006702922084522976,0.000549331724624987
n_hydrophobic,0.001091468174708932,0.0023901788249921347,0.0027777209054072843,0.0010389512442627075,0.0021028437573997554,0.0016142112307125452,0.0018201640182548186,0.001162128698189972,0.00046377213460160476,0.0017413667674415635
n_hydrophobic_noA,0.0051606453888211135,0.017384095507240616,0.023758753232385042,0.005718103730108719,0.007946475207342532,0.015087677658289673,0.009010536872544425,0.008089543276849045,0.001461379861736751,0.007470474313495309
n_polar_core,0.0001416388258819995,0.00044560093454764716,0.00034394738479732816,0.00018895754629384093,0.00010379547372565707,0.00013569301608057214,0.0003225340147541202,0.000348162763206218,0.00018117234284577613,0.00020406601700034547
n_res,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nearest_chymo_cut_to_Cterm,0.0033235284652603577,0.0038632460502234585,0.003856194475963216,0.0033084836993658856,0.003546451246975208,0.0024242860912769035,0.004016745022067469,0.003380077072382352,0.0023250158869922615,0.00342170579272193
nearest_chymo_cut_to_Nterm,0.0028599835160296717,0.0029850649385602117,0.0027891051980555187,0.0032151681025481553,0.002102993538193713,0.0021000299285639135,0.002893577811192265,0.0030120994430313866,0.0020361852222375797,0.0027860000699990806
nearest_chymo_cut_to_term,0.002420044993042987,0.0028974777363777447,0.0029483787041621337,0.0026429647424479658,0.0027142974542940703,0.0015845866268262288,0.0031106823481651526,0.0028924138541693645,0.0017137632713536818,0.0026526116280479804
nearest_tryp_cut_to_Cterm,0.001059981270645416,0.0017903303588505386,0.0016610023109398394,0.0014760617017787912,0.00111022690174875,0.0012092975554792644,0.0018689815638154449,0.001662330119159813,0.000719581582517061,0.0014735663328106572
nearest_tryp_cut_to_Nterm,0.002407580305626958,0.0030895546238226827,0.0025837135388114864,0.0018488437949048886,0.002140548104926392,0.0015506628071314484,0.0024722596896232236,0.0022516505468380553,0.0013994161578036778,0.0021179187056003176
